Name,Lifetime[5],Nationality,Notable as,Notes[6]
Philip Chevron,1957–2013,Irish,"Singer-songwriter, guitarist (The Radiators from Space, The Pogues)",G[159]
Paddy Chew,1960–1999,Singaporean,First Singaporean AIDS victim to come out to the general public,G[160]
Darren Chiacchia,b. 1964,American,Equestrian,G[161]
Georgy Chicherin,1872–1936,Russian,Politician,G[162]
Justin Chin,1969-2005,Malaysian-American,"Poet, essayist, performer",G[163]
Staceyann Chin,b. 1972,Jamaican,Poet,G[164]
Lenore Chinn,b. 1949,American,Realist painter,L[165]
Thomas R. Chiola,b. 1952,American,1st openly gay person elected to public office in Illinois,G[166]
Christopher Chippindale,b. 1951,English,Archaeologist,G[167]
Margaret Cho,b. 1968,American,Comedian,B[168]
Dan Choi,b. 1981,American,"LGBT activist, former military officer",G[169]
Lisa Cholodenko,b. 1964,American,Film director and screenwriter,L[170]
Zero Chou,b. 1969,Taiwanese,Film director,L[171]
Ken Choy,b. ?,American,"Writer, performance artist",G[172]
Wayson Choy,b. 1939,Canadian,Writer,G[173]
Meg Christian,b. 1946,American,Musician,L[174]
Jennifer Chrisler,b. ?,American,Gay rights activist,L[175]
William Christie,b. 1944,American-French,"Conductor, harpsichordist",G[176]
Queen Christina,1626–1689,Swedish,Monarch,L[177]
Peter Christopherson,1955–2010,English,"Musician (Throbbing Gristle, Psychic TV, Coil), commercial artist, photographer",G[178]
Chrystos,b. 1946,American,"Poet, activist",G[179]
Julie Chu,b. 1982,American,Ice hockey player,L[180]
Ralph Chubb,1892–1960,English,Writer,G[181]
Simon Chung,b. ?[4],Hong Kong,Film director,G[182]
Jok Church,1949–2016,American,Cartoonist,G[183]
Margaret Chutich,b. 1958,American,Associate Justice of the Minnesota Supreme Court,L[184]
Annabelle Chvostek,b. 1973,Canadian,Singer-songwriter,L[185]
Callan Chythlook-Sifsof,b. 1989,American,Snowboarder,L[186]
David Cicilline,b. 1961,American,"Politician, first openly gay mayor of an American state capital",G[187]
Adriano Cintra,b. 1972,Brazilian,Musician,G[188]
Claudio Cipelletti,b. 1962,Italian,Film director,G[189]
Belo Cipriani,b. 1980,Guatemalan-American,"Writer, memoirist, activist",G[190]
Jovan Ćirilov,1931–2014,Serbian,"Theater pedagogue, writer, poet, dramatist",G[191]
Ferdinando Cito Filomarino,b. 1986,Italian,"Film director, screenwriter",G[192]
Hélène Cixous,b. 1937,French,"Writer, philosopher",B[193]
Guillaume Cizeron,"b, 1994",French,Ice dancer,G[194]
Clairo,b. 1998,American,Singer-songwriter,B[195]
Layshia Clarendon,b. 1991,American,Basketball player,L[196]
Dodie Clark,b. 1995,English,Singer-songwriter and YouTube personality,B[197]
James Clark,b. 1963,English,Diplomat,G[198]
Karen Clark,b. 1945,American,Politician,L[199]
Michael Clark,b. 1962,Scottish,"Dancer, choreographer",G[200]
Rylan Clark-Neal,b. 1988,English,"TV presenter, singer",G[201]
Arthur C. Clarke,1917–2008,English,"Science fiction writer, science writer, futurist",G[202]
Cam Clarke,b. 1957,American,Voice actor,G[203]
Cecil Clarke,b. 1968,Canadian,Politician,G[204]
Cheryl Clarke,b. 1947,American,Writer,G[205]
Michele Clarke,b. 1961,Trinidadian,"Writer, filmmaker",L[206]
Julian Clary,b. 1959,English,Comedian,G[207]
Kevin Clash,b. 1960,American,Puppeteer,G[208]
Beth Clayton,b. ?,American,Opera singer,L[209]
Garrett Clayton,b. 1991,American,"Actor, singer and dancer",G[210]
Charles Clegg,1916–1979,American,"Author, photographer, railroad historian",G[211]
Douglas Clegg,b. 1958,American,Author,G[212]
Kerron Clement,b. 1985,Trinidadian-American,Track and field athlete,G[213]
Tyler Clementi,1991–2010,American,College student who committed suicide following cyberbullying,G[214]
Gabrielle D. Clements,1858–1948,American,"Painter, print maker, and muralist",L[215]
François Clemmons,b. 1945,American,"Singer, actor, choir conductor, lecturer",G[216]
Miss Cleo,1962–2016,American,TV personality,L[217]
Cleomachus,d. 7th century BC,Greek,Warrior,G[218][219]
Van Cliburn,1935–2013,American,Pianist,G[220]
Michelle Cliff,1946–2016,Jamaican-American,Author,L[221]
Montgomery Clift,1920–1966,American,Actor,G[222]
Lord Arthur Clinton,1840–1870,English,"Aristocrat, politician",B[223]
Kate Clinton,b. 1947,American,Comedian,L[224]
Luke Clippinger,b. 1972,American,Politician,G[225]
Natasha Cloud,b. 1992,American,Basketball player,B[226]
Gary Cloutier,b. ?,American,Politician,G[227]
Brennan Clost,b. 1994,Canadian,"Dancer, actor",G[228]
Jean-Paul Cluzel,b. 1947,French,"Politician, civil servant, businessman",G[229]
David Coburn,b. 1959,Scottish,Politician,G[230]
James Coco,1930–1987,American,Actor,G[231]
Jean Cocteau,1889–1963,French,"Writer, artist, filmmaker",B[232]
Cœur de pirate (stage name),b. 1989,Canadian,Singer-songwriter,L[233]
Jean-Pierre Coffe,1938–2016,French,"Radio and TV presenter, food critic, author",B[234]
Scott Coffey,b. 1967,American,"Writer, actor, director",G[235]
Tabatha Coffey,b. 1969,Australian,"TV personality, hair stylist",L[236]
Andy Cohen,b. 1968,American,TV executive and presenter,G[237]
Benjamin Cohen,b. 1982,English,"Entrepreur, journalist",G[238]
Cathy J. Cohen,b. 1962,American,"Political scientist, author, feminist, social activist",L[239]
Eliad Cohen,b. 1988,Israeli,"Producer, actor, model, entrepreneur",G[240]
Roy Cohn,1927–1986,American,"Lawyer, conservative activist",G[241]
Steven Cojocaru,b. 1965,Canadian,Fashion critic,G[242]
Henri Cole,b. 1956,American,Writer,G[243]
Joanna E. Cole,b. 1948,American,Politician,B[244]
Brian Coleman,b. 1961,English,Politician,G[245]
Lisa Coleman,b. 1960,American,Musician and film/TV composer,L[246]
Richard Coles,b. 1962,English,"Pop musician (The Communards), journalist, Church of England priest",G[247]
Colette,1873–1954,French,Author,L[248]
Chris Colfer,b. 1990,American,"Actor, singer",G[249]
Roberta Colindrez,b.[4],American,"Actor, writer",L[250]
Cyril Collard,1957–1993,French,Author,G[251]
James Collins,b. ?,Canadian,"Actor, singer & songwriter",G[252]
Jason Collins,b. 1978,American,Basketball player,G[253]
Marcus Collins,b. 1988,English,Singer,G[254]
Simon Collins,b. 1976,Canadian,Musician,B[255]
Maureen Colquhoun,b. 1928,English,Politician,L[256]
Robert Colquhoun,1914–1962,Scottish,Set designer,G[257]
Zebedy Colt,1929–2004,American,"Actor, director",G[258]
Katharine Coman,1857–1915,American,Economist,L[259][260]
Giovanni Comisso,1895–1969,Italian,"Author, poet",G[261]
Paola Concia,b. 1963,Italian,Politician,L[262]
Bill Condon,b. 1955,American,"Screenwriter, director",G[263]
Charlie Condou,b. 1974,English,Actor,G[264]
Timothy Conigrave,1959–1994,Australian,"Actor, playwright",G[265]
Garrard Conley,b. 1984/1985,American,"Author, activist",G[266]
Marie Conmee,1933-1994,Irish,Actor,L[267]
Cathy Connolly,b. 1956,American,Politician,L[268]
Jasper Conran,b. 1959,English,Fashion designer,G[269]
Kevin Conroy,b. 1955,American,Actor,G[270]
Sean Conroy,b. 1992,American,Baseball pitcher,G[271]
Massimo Consoli,1945–2007,Italian,"Activist, writer, historian",G[272]
Andrea Constand,b. ?[4],American,Basketball coach,L[273]
Al Conti,b. 1968,Argentine,"New Age composer, arranger, producer, multi-instrumentalist",G[274]
Fabiano Contarato,b. 1966,Brazilian,Politician,G[275]
Casey Conway,b. ?[4],Australian,Rugby player,G[276]
Harry Cook,b. 1991,Australian,Actor,G[277]
Nancy Cook,1884–1962,American,"Suffragette, teacher",L[278]
Natalie Cook,b. 1975,Australian,Volleyball player,L[279]
Susana Cook,b. ?[4],Argentine,Writer,L[280]
Tim Cook,b. 1960,American,CEO of Apple Inc.,G[281]
Anderson Cooper,b. 1967,American,"journalist, author, TV personality",G[282]
Ben Cooper,b. 1982,American,"Singer-songwriter (Radical Face, Electric President)",G[283]
Christian Cooper,b. ?[4],American,Comic book writer,G[284]
Dennis Cooper,b. 1953,American,Artist,G[285]
Colleen Coover,b. 1969,American,Comic artist,B[286]
Bleu Copas,b. 1976,American,Army translator discharged for being gay,G[287]
Copi (pseudonym of Raúl Damonte),1939–1987,Argentine,"Writer, cartoonist, playwright",G[288]
Aaron Copland,1900–1990,American,Classical composer,G[289]
Corey Corbin,b. 1967,American,Politician,G[290]
Tee Corinne,1943–2006,American,Writer,L[291]
Cat Cora,b. 1968,American,Chef,L[292]
John Corigliano,b. 1938,American,Classical composer,G[293]
William Corlett,1938–2005,English,"Novelist, playwright",G[294]
Dean Corll,1939–1973,American,Serial killer,G[295]
Michael G. Cornelius,b. ?,American,Writer,G[296]
Jessica Cornish,b. 1988,English,Singer-songwriter,B[297]
Patricia Cornwell,b. 1956,American,Author,B[298]
Sergio Coronado,b. 1970,Chilean-French,Politician,G[299]
Angélica Lozano Correa,b. 1975,Colombian,"Lawyer, politician; 1st lesbian elected to the Chamber of Representatives of Colombia",L[300]
Vanina Correa,b. 1983,Argentine,Footballer,L[301]
Peter and Murray Corren,b. ?,Canadian,LGBT rights activists,G[302]
Catherine Corsini,b. 1956,French,"Film director, screenwriter, actor",L[303]
Rick Cosnett,b. 1983,Zimbabwean-Australian,Actor,G[304]
Rose Cossar,b. 1991,Canadian,Gymnast,L[305]
Francisco Costa,b. 1964,Brazilian,Fashion designer,G[306]
James Costos,b. 1963,American,Diplomat,G[307]
Antony Cotton,b. 1975,English,Actor,G[308]
Honey Lee Cottrell,1946–2015,American,"Photographer, filmmaker",L[309][310]
Shea Couleé,b. 1989,American,Drag queen,G[311]
Douglas Coupland,b. 1961,Canadian,Author,G[312]
Brendan Courtney,b. 1973,Irish,TV presenter,G[313]
Adolfo Couve,1940–1998,Chilean,"Artist, writer",G[314]
Reed Cowan,b. 1972,American,"Journalist, documentary filmmaker, screenwriter, philanthropist",G[315]
Rory Cowan,b. 1959,Irish,"Comedian, actor",G[316]
Noël Coward,1899–1973,English,"Actor, playwright",G[317]
Henry Cowell,1897–1965,American,"20th century classical composer, musician",B[318]
Colin Cowie,b. 1962,South African,Wedding planner,G[319]
Patrick Cowley,1950–1982,American,"Pop musician, music producer, composer",G[320]
Allan V. Cox,1926–1987,American,Geophysicist,G[321]
Bradford Cox,b. 1982,American,"Singer-songwriter, musician (Deerhunter)",G[322]
C. Jay Cox,b. 1962,American,"Director, screenwriter",G[323]
Daniel Allen Cox,b. 1976,Canadian,Writer,G[324]
Edith Craig,1869–1947,English,"Theatre director, producer, costume designer, suffragette",L[325]
Larry Craig,b. 1945,American,Politician,B[326]
Cason Crane,b. 1993,American,Mountain climber,G[327]
Cheryl Crane,b. 1943,American,"Lana Turner's daughter, killer of Turner's abusive boyfriend",L[328]
Hart Crane,1899–1932,American,Poet,G[329]
Nicky Crane,1958–1993,English,Neo-Nazi activist,G[330]
Scott Cranham,b. 1954,Canadian,Diver,G[331]
Anthony Crank,b. ?,English,TV presenter,G[332]
Toller Cranston,b. 1949,Canadian,"Figure skater, artist",G[333]
Darby Crash,1958–1980,American,Punk rock musician (Germs),G[334]
Auliʻi Cravalho,b. 2000,American,"Actress, singer",B[335]
Gavin Crawford,b. 1971,Canadian,"Comedian, actor",G[336]
Robyn Crawford,b. 1963,American,"Author, script supervisor, producer, executive assistant",B[337]
Joel Creasey,b. 1990,Australian,"Comedian, actor, TV personality",G[338]
Gavin Creel,b. 1976,American,"Actor, singer",G[339]
Leanna Creel,b. 1970,American,"Actor, film producer, film director, screenwriter, photographer",L[340]
Jack Creley,1926–2004,American-Canadian,Actor,G[341]
Dominique Crenn,b. 1965,French,Chef,L[342]
Wendy Crewson,b. 1956,Canadian,"Actor, film producer",L[343]
Quentin Crisp,1908–1999,English,Writer,G[344]
Rosario Crocetta,b. 1951,Italian,"Politician, former President of Sicily",G[345]
Chris Crocker,b. 1987,American,Internet celebrity,G[346]
St. Sukie de la Croix,b. 1951,English,"Activist, author",B[347]
Richard Cromwell,1910–1960,American,Actor,G[348]
Rodney Croome,b. ?,Australian,LGBT rights activist,G[349]
Joel Crothers,1941–1985,American,Actor,G[350]
Aleister Crowley,1875–1947,English,"Occultist, ceremonial magician, poet, painter, novelist, mountaineer",B[351]
Mart Crowley,1935–2020,American,Playwright,G[352]
Koen Crucke,b. 1952,Belgian,"Opera singer, politician, actor",G[353]
Brian Justin Crum,b. 1988,American,"Singer, stage actor",G[354]
Howard Cruse,1944–2019,American,Cartoonist,G[355]
Bobby Crush,b. 1954,English,"Pianist, TV presenter",G[356]
Benjamin Cruz,b. 1953,American,"Judge, politician",G[357]
Juana Inés de la Cruz,1648–1695,Mexican,"Nun, poet, writer",L[358][359][360]
Nilo Cruz,b. 1960,American,Playwright,G[361]
Orlando Cruz,b. 1981,Puerto Rican,Boxer,G[362]
Wilson Cruz,b. 1973,American,Actor,G[363]
Hugues Cuénod,1902–2010,Swiss,Tenor,G[364]
Cui Zi'en,b. 1958,Chinese,"Film director, producer, screenwriter, novelist",G[365]
George Cukor,1899–1983,American,Director,G[366]
Countee Cullen,1903–1946,American,"Poet, novelist, children's writer, playwright",B[367]
Mitch Cullin,b. 1968,American,Novelist,G[368]
Bonnie Cullison,b. 1954,American,Politician,L[225]
Alan Cumming,b. 1965,Scottish,Actor,B[369]
Conrad Cummings,b. 1948,American,Contemporary classical composer,G[370]
Philip Cummings,1906–1991,American,"Public speaker, political analyst",G[371]
Andrew Cunanan,1969–1997,American,Serial killer,G[372]
José Cuneo,b. 1965,Argentine,Artist,G[373]
Michael Cunningham,b. 1952,American,Writer,G[374]
Scott Cunningham,1956–1993,American,Writer of Wicca and occult topics,G[375]
Adrianne Curry,b. 1982,American,Model,B[376]
John Curry,1949–1994,English,Figure skater,G[377]
Tyler Curry,b. 1983,American,HIV activist,G[378]
Bonnie Curtis,b. 1966,American,Film producer,L[379]
Catie Curtis,b. 1965,American,Folk rock musician,L[380]
Richard Curtis,b. 1959,American,Politician,B[381]
Daniel Curzon,b. 1938,American,Writer,G[382]
Donal Óg Cusack,b. 1977,Irish,"Hurler, GAA athlete",G[383]
Charlotte Cushman,1816–1876,American,Actor,L[384]
Robert Cutler,1895-1974,American,Government official,G[385]
Julie Cypher,b. 1964,American,"LGBT rights activist, director",B[386]
René Richard Cyr,b. 1958,Canadian,"Actor, playwright, theater director",G[387]
Józef Czapski,1896–1993,Polish,"Artist, writer, soldier",G[388]
Józef Czechowicz,1903–1939,Polish,Poet,G[389]
Jacob Israël de Haan,1881–1924,Dutch,"Journalist, writer",G[7]
Minna Haapkylä,b. 1973,Finnish,Actor,B[8]
Fritz Haarmann,1879–1925,German,Serial killer,G[9]
Pekka Haavisto,b. 1958,Finnish,Politician,G[10]
Marilyn Hacker,b. 1942,American,Poet,L[11]
Saleem Haddad,b. 1983,Kuwaiti-British,"Author, aid worker",G[12]
Boze Hadleigh,b. 1954,American,Writer,G[13]
Hadrian,76–138 CE,Roman,"Military commander, emperor",G[14]
Adèle Haenel,b. 1989,French,Actor,L[15]
Jenny Hagel,b. ?[5],American,"Comedian, comedy writer",L[16]
Stein Erik Hagen,b. 1956,Norwegian,Businessperson,B[17]
Ted Haggard,b. 1956,American,Minister,B[18]
Patrick Haggerty,b. 1944,American,Country music singer (Lavender Country),G[19]
Peter Häggström,b. 1976,Swedish,Track and field athlete,G[20]
Kevin Hague,b. 1960,New Zealand,Politician,G[21]
Reynaldo Hahn,1875–1947,Venezuelan-French,"Composer, conductor, music critic, diarist",G[22]
Jörg Haider,1950–2008,Austrian,Politician,G[23]
Andrew Haigh,b. 1973,English,"Screenwriter, film director",G[24]
Leisha Hailey,b. 1971,American,"Actor, pop musician (The Murmurs, Uh Huh Her)",L[25]
William Haines,1900–1973,American,"Actor, interior designer",G[26]
Anja Hajduk,b. 1963,German,Politician,L[27]
Al-Hakam II,915–976,Umayyad Dynasty,Second Caliph of Cordoba,B[28]
Salim Halali,1920–2005,Algerian,Singer,G[29]
Ellen Day Hale,1855–1940,American,American Impressionist painter,L[30]
Rob Halford,b. 1951,English,Heavy metal vocalist and musician (Judas Priest),G[31]
Marc Hall,b. 1984,Canadian,LGBT rights activist who fought in court to bring his boyfriend to the prom,G[32][33]
Matthew Hall,b. 1970,Canadian,Figure skater,G[34]
Radclyffe Hall,1880–1943,English,"Author, poet",L[35]
Siri Hall Arnøy,b. 1978,Norwegian,Politician,L[36]
Todrick Hall,b. 1985,American,Entertainer,G[37]
Ian Hallard,b. 1974,English,"Actor, screenwriter",G[38]
David Hallberg,b. ?[5],American,Dancer,G[39]
Hanne Haller,1950–2005,German,"Singer, composer, writer, producer, sound engineer",L[40]
Richard Halliburton,1900–1939,American,"Author, traveler, adventurer",B[41]
Ursula Halligan,b. 1960,Irish,Political editor,L[42]
Kenneth Halliwell,1926–1967,English,Artist and murderer of playwright Joe Orton,G[43]
Augusto d'Halmar,1882–1950,Chilean,Writer,G[44]
David Halperin,b. 1952,American,"Writer, queer theorist",G[45]
Halsey,b. 1994,American,"Singer, songwriter",B[46]
Boris van der Ham,b. 1973,Dutch,Politician,G[47]
Maggi Hambling,b. 1945,English,Artist,L[48]
Ralph Hamelmann,b. 1967,Canadian,"Comic artist, promoter",G[49]
John C. Hamer,b. 1970,American-Canadian,"Historian, mapmaker",G[50]
Antony Hamilton,1952–1995,English-Australian,"Model, actor",G[51]
Arlan Hamilton,b. 1980,American,Investment fund founder,L[52]
Nancy Hamilton,1908–1985,American,"Actor, playwright, lyricist, director, producer",L[53]
Kathryn Hamm,b. ?[5],American,Writer,L[54]
Barbara Hammer,b. 1939,American,Experimental filmmaker,L[55]
Anja Hammerseng-Edin,b. 1983,Norwegian,Handball player,L[56]
Gro Hammerseng-Edin,b. 1980,Norwegian,Handball player,L[57]
Harmony Hammond,b. 1944,American,Artist,L[58]
James Henry Hammond,1807–1864,American,Attorney and politician,B[59]
David Hampton,1964–2003,American,Con artist and impostor,G[60]
Mabel Hampton,1902–1989,American,"Activist, dancer, philanthropist",L[61]
Nicola Hancock,b. 1995,Australian,Cricketer,L[62]
Klaus Händl,b. 1969,Austrian,"Actor, film director, writer",G[63]
Tyler Hanes,b. 1982,American,Actor,G[64]
Vincent Hanley,1954–1987,Irish,"DJ, TV personality",G[65]
Kathleen Hanna,b. 1968,American,"Rock musician (Bikini Kill, Le Tigre, The Julie Ruin), activist, writer",B[66]
Bretten Hannam,b. ?[5],Canadian,"Film director, screenwriter",G[67]
Lorraine Hansberry,1930–1965,American,Playwright,L[68]
Joseph Hansen,1923–2004,American,Mystery writer,G[69]
Alan Hansford,b. 1968,English,Cricketer,G[70]
Van Hansis,b. 1981,American,Actor,G[71]
Glen Hanson,b. ?[5],American,"Cartoonist, illustrator",G[72]
Yuval Noah Harari,b. 1976,Israeli,"Historian, author, educator",G[73]
Pernille Harder,b. 1992,Danish,Footballer,L[74]
Gilbert Harding,1907–1960,English,Radio personality,G[75]
David Hardt,b. ?[5],American,Politician,G[76]
Michael Hardwick,b. ?[5],American,Litigant in Bowers v. Hardwick case,G[77]
Michelle Hardwick,b. 1976,English,Actor,L[78]
G. H. Hardy,1877–1947,English,Mathematician,G[79]
John Hargreaves,1945–1996,Australian,Actor,G[80]
Brian Hargrove,b. 1956,American,TV writer/producer,G[81][82]
Johann Hari,b. 1979,British,Journalist,G[48]
Keith Haring,1958–1990,American,Artist,G[83]
Harmodius and Aristogeiton,d. 514 BC,Athenian,Lovers who died freeing Athens from tyrants,G[84]
